date,timeMODIS,timeImage,cloudMaskForMODISTime,coverageForMODISTime
2015-04-11 11:50:00,2015-04-11 11:50:00,2015-04-11 11:50:02,1.0,0.666368
2015-04-13 11:40:00,2015-04-13 11:40:00,2015-04-13 11:40:02,0.777777777778,0.710028
2015-04-15 11:25:00,2015-04-15 11:25:00,2015-04-15 11:24:02,1.0,0.554508
2015-04-16 12:10:00,2015-04-16 12:10:00,2015-04-16 12:10:01,0.444444444444,0.338308
2015-04-17 11:15:00,2015-04-17 11:15:00,2015-04-17 11:14:01,0.555555555556,0.613032
2015-04-18 11:55:00,2015-04-18 11:55:00,2015-04-18 11:54:00,0.888888888889,0.629476
2015-04-22 11:30:00,2015-04-22 11:30:00,2015-04-22 11:30:01,0.333333333333,0.65302
2015-04-26 11:05:00,2015-04-26 11:05:00,2015-04-26 11:04:00,1.0,0.889924
2015-04-27 11:50:00,2015-04-27 11:50:00,2015-04-27 11:50:00,1.0,0.840076
2015-04-29 11:40:00,2015-04-29 11:40:00,2015-04-29 11:42:02,0.222222222222,0.585428
2015-05-03 11:15:00,2015-05-03 11:15:00,2015-05-03 11:14:01,1.0,0.529512
2015-05-04 11:55:00,2015-05-04 11:55:00,2015-05-04 11:54:01,0.888888888889,0.487628
2015-05-05 11:00:00,2015-05-05 11:00:00,2015-05-05 11:00:01,0.777777777778,0.649752
2015-05-06 11:45:00,2015-05-06 11:45:00,2015-05-06 11:44:01,1.0,0.698024
2015-05-08 11:30:00,2015-05-08 11:30:00,2015-05-08 11:30:00,1.0,0.43746
2015-05-12 11:10:00,2015-05-12 11:10:00,2015-05-12 11:10:01,1.0,0.726024
2015-05-13 11:50:00,2015-05-13 11:50:00,2015-05-13 11:50:00,1.0,0.53682
2015-05-19 11:15:00,2015-05-19 11:15:00,2015-05-19 11:26:04,0.0,0.482108
2015-05-20 11:55:00,2015-05-20 11:55:00,2015-05-20 11:54:01,1.0,0.910636
2015-05-21 11:00:00,2015-05-21 11:00:00,2015-05-21 11:00:01,1.0,0.62244
2015-05-22 11:45:00,2015-05-22 11:45:00,2015-05-22 11:44:00,1.0,0.893704
2015-05-24 11:30:00,2015-05-24 11:30:00,2015-05-24 11:29:59,1.0,0.708392
2015-05-26 11:20:00,2015-05-26 11:20:00,2015-05-26 11:20:00,1.0,0.716292
2015-05-27 12:05:00,2015-05-27 12:05:00,2015-05-27 12:04:00,1.0,0.589676
2015-05-28 11:10:00,2015-05-28 11:10:00,2015-05-28 11:10:00,0.444444444444,0.516196
2015-05-29 11:50:00,2015-05-29 11:50:00,2015-05-29 11:50:01,0.777777777778,0.571376
2015-05-30 10:55:00,2015-05-30 10:55:00,2015-05-30 10:54:01,0.555555555556,0.489916
2015-05-31 11:40:00,2015-05-31 11:40:00,2015-05-31 11:40:01,0.555555555556,0.597876
2015-06-02 11:25:00,2015-06-02 11:25:00,2015-06-02 11:24:01,0.222222222222,0.398596
2015-06-03 12:10:00,2015-06-03 12:10:00,2015-06-03 12:10:01,0.555555555556,0.543072
2015-06-04 11:15:00,2015-06-04 11:15:00,2015-06-04 11:14:00,0.222222222222,0.23788
2015-06-05 11:55:00,2015-06-05 11:55:00,2015-06-05 11:54:01,0.444444444444,0.569684
2015-06-06 11:00:00,2015-06-06 11:00:00,2015-06-06 11:00:01,1.0,0.430472
2015-06-11 11:20:00,2015-06-11 11:20:00,2015-06-11 11:20:01,1.0,0.954008
2015-06-12 12:05:00,2015-06-12 12:05:00,2015-06-12 12:04:01,1.0,0.74246
